receipt_number,payment_amount,payment_date,payment_method,contract_number
223,282.87,2023-03-22,PayPal,223
224,2939.55,2021-01-14,Bank Transfer,224
225,2285.35,2022-11-09,PayPal,225
226,1082.31,2023-09-19,PayPal,226
227,2246.92,2020-02-06,Bank Transfer,227
228,2940.84,2020-08-18,Credit Card,228
229,2230.53,2023-09-19,PayPal,229
230,715.34,2023-08-24,PayPal,230
231,2227.08,2020-05-15,PayPal,231
232,370.78,2023-03-06,Cash,232
233,304.46,2023-05-28,Bank Transfer,233
234,291.81,2021-03-29,Bank Transfer,234
235,408.49,2020-07-23,PayPal,235
236,446.17,2020-02-18,Credit Card,236
237,768.86,2020-08-09,Cash,237
238,1529.26,2022-06-07,Credit Card,238
239,1679.98,2022-05-05,Bank Transfer,239
240,1924.96,2023-09-10,PayPal,240
241,888.08,2021-01-15,PayPal,241
242,1466.87,2021-06-19,Credit Card,242
243,1425.38,2023-11-11,Credit Card,243
244,1642.64,2023-09-09,Cash,244
245,655.06,2023-08-17,Credit Card,245
246,1670.92,2021-09-21,PayPal,246
247,997.46,2021-08-30,Bank Transfer,247
248,2832.22,2022-05-14,PayPal,248
249,1565.92,2021-03-09,Bank Transfer,249
250,883.05,2023-05-15,Bank Transfer,250
251,1499.84,2023-09-25,PayPal,251
252,1106.3,2021-05-18,Credit Card,252
253,2589.36,2022-09-18,Bank Transfer,253
254,2436.56,2023-02-18,Cash,254
255,2339.0,2020-04-20,Credit Card,255
256,2768.76,2023-09-24,Credit Card,256
257,2974.74,2023-07-31,PayPal,257
258,875.85,2022-09-29,Credit Card,258
259,2919.24,2021-03-08,Bank Transfer,259
260,1144.48,2021-10-17,Bank Transfer,260
261,2926.61,2022-07-18,Bank Transfer,261
262,2943.02,2022-11-06,Credit Card,262
263,1715.84,2022-10-14,Bank Transfer,263
264,2018.22,2022-11-29,Cash,264
265,2604.02,2021-01-08,PayPal,265
266,2715.08,2020-10-08,Credit Card,266
267,948.47,2020-07-06,Cash,267
268,416.11,2023-11-14,Cash,268
269,2837.28,2022-10-17,Cash,269
270,2146.88,2023-11-01,PayPal,270
271,736.08,2020-12-08,Bank Transfer,271
272,2073.99,2020-03-24,Credit Card,272
273,1764.97,2023-04-13,PayPal,273
274,2329.54,2023-02-22,PayPal,274
275,947.79,2020-11-09,Credit Card,275
276,1785.63,2020-03-31,PayPal,276
277,642.61,2020-05-18,Cash,277
278,925.39,2023-07-27,Credit Card,278
279,2986.22,2020-07-07,Bank Transfer,279
280,520.67,2021-12-18,Credit Card,280
281,1168.44,2021-09-25,Cash,281
282,613.82,2021-12-11,Credit Card,282
283,1158.07,2020-07-06,PayPal,283
284,1502.54,2020-11-23,PayPal,284
285,1170.81,2023-11-19,PayPal,285
286,2120.67,2021-04-13,Cash,286
287,679.19,2022-10-31,Credit Card,287
288,1713.03,2021-06-30,Cash,288
289,1060.18,2020-01-20,PayPal,289
290,1990.16,2023-09-12,Credit Card,290
291,861.08,2020-06-14,Cash,291
292,1523.74,2023-06-05,PayPal,292
293,811.81,2021-05-18,Credit Card,293
294,2845.69,2020-10-04,Cash,294
295,1236.25,2022-11-30,Bank Transfer,295
296,1207.77,2022-11-14,Credit Card,296
297,301.0,2021-07-11,Credit Card,297
298,2340.97,2023-04-09,Bank Transfer,298
299,1461.23,2021-07-17,Bank Transfer,299
300,1235.88,2023-03-05,Credit Card,300
301,1760.02,2022-04-28,PayPal,301
302,1732.07,2023-04-27,Credit Card,302
303,2760.38,2020-10-05,Bank Transfer,303
304,1195.11,2023-01-14,PayPal,304
305,636.0,2022-03-09,PayPal,305
306,643.02,2023-04-11,PayPal,306
307,2728.61,2021-12-02,Cash,307
308,2186.3,2022-09-06,Bank Transfer,308
309,583.71,2022-05-02,Credit Card,309
310,1957.61,2023-01-03,Bank Transfer,310
311,1859.03,2023-05-05,Bank Transfer,311
312,1819.3,2022-12-02,Credit Card,312
313,1355.75,2023-09-10,Cash,313
314,678.05,2020-07-05,Bank Transfer,314
315,543.35,2021-11-22,Cash,315
316,1572.87,2020-07-01,Cash,316
317,2503.64,2023-07-13,Cash,317
318,1982.01,2021-01-13,PayPal,318
319,1716.08,2023-05-30,Bank Transfer,319
320,1595.24,2022-11-01,PayPal,320
321,449.17,2022-08-14,Cash,321
322,2724.18,2022-10-13,Bank Transfer,322
323,707.77,2021-04-08,Cash,323
324,281.99,2022-01-07,PayPal,324
325,1982.58,2023-11-05,Bank Transfer,325
326,1427.65,2020-07-23,Cash,326
327,1102.84,2020-05-29,Cash,327
328,1092.85,2023-12-27,PayPal,328
329,2815.19,2022-10-17,PayPal,329
330,1432.12,2023-02-14,Credit Card,330
331,948.43,2020-03-26,PayPal,331
332,1919.1,2022-12-08,PayPal,332
333,1591.89,2020-02-02,PayPal,333
334,151.04,2022-11-07,Credit Card,334
335,111.0,2023-05-18,Credit Card,335
336,2641.44,2023-10-25,PayPal,336
337,1379.94,2023-02-27,Credit Card,337
338,2921.92,2022-07-04,Credit Card,338
339,2617.64,2023-03-23,PayPal,339
340,1022.78,2020-06-22,Credit Card,340
341,415.63,2023-01-06,PayPal,341
342,785.49,2023-03-22,Bank Transfer,342
343,1702.71,2022-06-29,PayPal,343
344,1541.12,2021-01-04,PayPal,344
345,1860.81,2022-03-30,PayPal,345
346,1901.62,2022-12-11,Cash,346
347,1785.44,2022-10-31,Cash,347
348,2937.29,2021-07-20,Credit Card,348
349,1283.4,2020-08-19,Credit Card,349
350,718.34,2021-02-25,PayPal,350
351,2259.11,2020-03-07,Bank Transfer,351
352,954.91,2020-01-29,PayPal,352
353,2014.85,2020-03-19,Cash,353
354,1033.55,2020-04-25,Bank Transfer,354
355,2470.67,2020-05-19,Cash,355
356,506.66,2023-10-29,Bank Transfer,356
357,2693.42,2020-02-27,Cash,357
358,1730.3,2023-12-19,Bank Transfer,358
359,2119.31,2021-02-15,Bank Transfer,359
360,1311.48,2022-12-13,PayPal,360
361,1125.87,2023-10-17,Bank Transfer,361
362,1905.33,2022-02-15,Credit Card,362
363,2058.02,2020-07-13,Bank Transfer,363
364,389.58,2022-01-18,PayPal,364
365,1774.57,2023-07-16,Cash,365
366,1151.18,2023-03-19,Credit Card,366
367,2177.37,2020-07-15,Cash,367
368,1349.43,2022-05-12,PayPal,368
369,702.98,2020-08-07,Cash,369
370,1559.14,2023-11-01,Credit Card,370
371,662.97,2023-07-22,Bank Transfer,371
372,2236.33,2021-11-16,Bank Transfer,372
373,1166.65,2021-04-25,PayPal,373
374,372.5,2021-06-22,Bank Transfer,374
375,1565.21,2022-06-13,Cash,375
376,2993.01,2020-02-18,PayPal,376
377,1779.04,2021-04-22,Bank Transfer,377
378,604.44,2023-08-30,Cash,378
379,1732.73,2020-07-08,PayPal,379
380,1698.87,2020-06-02,Cash,380
381,2341.7,2022-10-09,Cash,381
382,914.76,2020-11-10,Credit Card,382
383,1859.9,2021-08-20,PayPal,383
384,2908.82,2022-11-29,PayPal,384
385,937.47,2021-11-15,Credit Card,385
386,2346.27,2022-11-03,Bank Transfer,386
387,2160.03,2023-02-23,Cash,387
388,861.59,2021-05-23,Cash,388
389,2696.42,2021-05-02,Credit Card,389
390,815.92,2021-09-05,Cash,390
391,2492.66,2020-03-01,Credit Card,391
392,2070.56,2020-03-18,Credit Card,392
393,2436.62,2020-08-27,Bank Transfer,393
394,1804.28,2021-08-01,PayPal,394
395,1995.88,2023-07-20,Credit Card,395
396,2632.54,2020-12-27,Cash,396
397,594.13,2021-05-15,Bank Transfer,397
398,763.68,2020-12-19,Cash,398
399,1597.48,2021-12-07,Credit Card,399
400,604.71,2020-10-04,Cash,400
401,216.45,2021-02-15,Bank Transfer,401
402,1225.39,2023-11-09,Bank Transfer,402
403,2228.92,2022-05-28,Bank Transfer,403
404,259.41,2020-09-26,Bank Transfer,404
405,2586.95,2022-01-17,Cash,405
406,1887.28,2023-04-10,Cash,406
407,997.6,2021-11-07,PayPal,407
408,110.42,2020-06-18,Credit Card,408
409,2421.83,2022-08-15,Bank Transfer,409
410,1412.5,2023-09-28,Cash,410
411,1707.69,2023-02-01,Cash,411
412,2161.42,2023-01-07,Cash,412
413,2342.19,2022-01-22,Bank Transfer,413
414,905.02,2020-10-13,Credit Card,414
415,1089.71,2022-04-23,Credit Card,415
416,2105.21,2020-04-05,Cash,416
417,1320.05,2021-06-21,Bank Transfer,417
418,1298.63,2023-01-06,Credit Card,418
419,1319.75,2023-08-03,Cash,419
420,1594.74,2022-01-11,Cash,420
421,208.02,2022-02-06,PayPal,421
422,1327.93,2023-04-07,Cash,422
423,263.23,2023-05-23,Credit Card,423
424,772.26,2022-11-24,Bank Transfer,424
425,2605.56,2021-03-19,Bank Transfer,425
426,120.63,2023-03-05,Cash,426
427,1934.19,2022-02-17,Bank Transfer,427
428,2789.5,2021-06-04,Cash,428
429,588.88,2023-03-22,Bank Transfer,429
430,104.51,2021-06-02,Bank Transfer,430
431,145.63,2023-06-16,Cash,431
432,2925.2,2023-10-08,Cash,432
433,1668.77,2021-10-01,Cash,433
434,1110.33,2022-07-03,Credit Card,434
435,2730.35,2022-05-30,Cash,435
436,2617.63,2020-12-29,Cash,436
437,2861.91,2020-12-12,PayPal,437
438,423.17,2020-03-29,Credit Card,438
439,1623.48,2020-05-18,Cash,439
440,1080.61,2022-07-17,Bank Transfer,440
441,2826.29,2022-02-11,Credit Card,441
442,1038.35,2023-11-30,Bank Transfer,442
443,603.84,2023-07-21,Cash,443
444,2646.57,2020-11-20,PayPal,444
445,2075.29,2023-09-23,PayPal,445
446,1313.36,2022-04-27,PayPal,446
447,2915.03,2023-05-27,Bank Transfer,447
448,710.46,2023-01-14,Cash,448
449,1364.75,2022-01-31,PayPal,449
450,1384.25,2022-04-18,PayPal,450
451,2349.28,2021-05-24,Bank Transfer,451
452,1989.1,2020-02-01,PayPal,452
453,318.05,2021-12-10,Credit Card,453
454,1495.31,2020-09-03,Credit Card,454
455,121.11,2023-10-07,Credit Card,455
456,591.55,2023-02-17,Cash,456
457,916.89,2020-03-18,PayPal,457
458,133.41,2021-11-14,PayPal,458
459,213.93,2022-06-21,PayPal,459
460,1690.43,2021-08-23,Cash,460
461,2519.79,2023-05-24,Cash,461
462,157.2,2022-12-06,Cash,462
463,1714.71,2020-10-13,PayPal,463
464,1680.19,2020-01-14,PayPal,464
465,2290.93,2023-11-08,Credit Card,465
466,244.57,2020-12-12,Cash,466
467,843.77,2020-05-24,Credit Card,467
468,1700.48,2021-05-18,Cash,468
469,533.75,2022-12-05,Cash,469
470,1312.75,2021-07-23,Cash,470
471,1236.49,2020-07-25,Credit Card,471
472,2497.84,2023-07-18,Credit Card,472
473,1061.96,2021-07-03,PayPal,473
474,2021.33,2022-12-01,Cash,474
475,480.08,2020-01-04,Bank Transfer,475
476,1713.69,2022-05-26,Cash,476
477,2282.84,2023-08-07,PayPal,477
478,117.88,2023-02-24,Credit Card,478
479,2486.53,2021-01-17,Bank Transfer,479
480,557.0,2021-05-31,Credit Card,480
481,2086.11,2021-07-05,PayPal,481
482,2150.78,2021-04-12,Credit Card,482
483,1639.51,2022-07-31,Bank Transfer,483
484,912.06,2021-03-05,Cash,484
485,2031.31,2020-09-05,Bank Transfer,485
486,2469.4,2022-07-13,Credit Card,486
487,732.93,2021-02-10,Cash,487
488,848.71,2022-12-02,PayPal,488
489,2269.09,2020-01-31,Bank Transfer,489
490,2691.31,2021-03-09,Credit Card,490
491,1206.53,2022-07-25,Credit Card,491
492,753.56,2020-02-11,Cash,492
493,2609.72,2023-02-12,Cash,493
494,1613.21,2021-12-02,PayPal,494
495,2416.56,2023-12-22,PayPal,495
496,2962.65,2023-02-02,Bank Transfer,496
497,889.14,2023-03-04,Cash,497
498,2749.52,2023-04-30,Credit Card,498
499,2628.62,2021-04-30,PayPal,499
500,374.95,2023-06-13,Credit Card,500
501,822.05,2021-08-18,Credit Card,501
502,267.72,2023-04-25,Credit Card,502
503,145.21,2022-10-25,PayPal,503
504,1110.72,2020-10-14,Credit Card,504
505,839.08,2023-02-16,Bank Transfer,505
506,123.68,2023-04-23,Cash,506
507,2474.76,2022-02-08,Cash,507
508,2035.5,2021-01-26,PayPal,508
509,2105.4,2021-01-19,Credit Card,509
510,608.29,2023-06-29,Credit Card,510
511,289.2,2021-12-09,PayPal,511
512,250.61,2022-08-24,Cash,512
513,1886.87,2022-12-11,Credit Card,513
514,931.71,2023-02-18,Cash,514
515,2346.84,2022-09-13,Credit Card,515
516,1380.33,2021-02-24,Cash,516
517,150.84,2022-10-26,Bank Transfer,517
518,2891.19,2021-07-11,Credit Card,518
519,1521.85,2021-12-02,Cash,519
520,1559.78,2020-01-06,Cash,520
521,1023.55,2022-04-24,Bank Transfer,521
522,1674.89,2021-03-13,Credit Card,522
523,2366.37,2023-06-09,Bank Transfer,523
524,1217.16,2021-02-05,Credit Card,524
525,2002.11,2023-07-07,PayPal,525
526,395.59,2022-06-20,PayPal,526
527,1210.36,2020-12-10,Cash,527
528,2452.26,2023-07-11,PayPal,528
529,2777.82,2023-01-31,Cash,529
530,2333.86,2021-12-16,Credit Card,530
531,2897.67,2021-02-15,Credit Card,531
532,2079.37,2020-03-15,Bank Transfer,532
533,2347.26,2020-11-16,Bank Transfer,533
534,718.77,2022-01-05,Cash,534
535,1620.55,2023-06-24,PayPal,535
536,2193.35,2022-06-17,Bank Transfer,536
537,972.65,2020-02-15,Bank Transfer,537
538,569.13,2023-12-20,Cash,538
539,1016.77,2022-09-21,Cash,539
540,2722.14,2020-04-22,Credit Card,540
541,2301.65,2023-03-21,Bank Transfer,541
542,1869.61,2022-09-27,Cash,542
543,1764.24,2023-05-30,Bank Transfer,543
544,1639.96,2023-12-30,PayPal,544
545,1809.94,2020-12-18,Bank Transfer,545
546,563.15,2021-09-14,Bank Transfer,546
547,1784.98,2022-03-02,Credit Card,547
548,1782.43,2020-06-15,Credit Card,548
549,1594.89,2022-11-25,Bank Transfer,549
550,2704.98,2021-03-01,Bank Transfer,550
551,2498.68,2020-01-23,PayPal,551
552,877.66,2021-07-19,Bank Transfer,552
553,401.68,2020-10-31,Credit Card,553
554,870.93,2022-12-25,Bank Transfer,554
555,1374.34,2020-03-22,Cash,555
556,2970.08,2022-11-10,Cash,556
557,780.93,2020-06-19,Credit Card,557
558,2794.79,2023-11-18,Bank Transfer,558
559,2237.25,2023-12-12,Cash,559
560,1033.11,2022-06-08,Cash,560
561,2736.94,2023-12-12,PayPal,561
562,2461.25,2023-07-10,Bank Transfer,562
563,2772.93,2023-11-22,Cash,563
564,286.3,2022-07-02,PayPal,564
565,671.88,2020-07-12,Credit Card,565
566,1153.16,2020-10-27,Credit Card,566
567,101.19,2020-06-01,Credit Card,567
568,2353.7,2021-10-27,Bank Transfer,568
569,227.83,2021-10-19,PayPal,569
570,381.85,2022-01-28,Bank Transfer,570
571,598.9,2023-09-07,Bank Transfer,571
572,1917.14,2022-06-28,Cash,572
573,2436.09,2022-06-21,Bank Transfer,573
574,2750.55,2023-07-14,PayPal,574
575,1274.12,2023-05-25,Credit Card,575
576,1949.53,2021-07-09,Cash,576
577,1177.66,2020-11-21,PayPal,577
578,372.57,2021-11-07,Bank Transfer,578
579,2623.14,2020-10-19,Credit Card,579
580,1926.84,2023-07-09,Bank Transfer,580
581,1817.01,2020-02-11,PayPal,581
582,2291.97,2020-02-24,Bank Transfer,582
583,2270.57,2023-05-31,Bank Transfer,583
584,171.18,2023-11-09,Credit Card,584
585,449.7,2022-06-22,PayPal,585
586,2461.75,2022-06-23,Bank Transfer,586
587,704.34,2023-04-01,PayPal,587
588,1877.97,2021-09-01,Bank Transfer,588
589,1068.46,2021-11-21,Cash,589
590,1184.45,2021-08-20,PayPal,590
591,2192.71,2020-03-26,Cash,591
592,2269.57,2021-04-19,Bank Transfer,592
593,1402.77,2020-04-18,Bank Transfer,593
594,773.84,2022-01-06,Cash,594
595,1089.38,2022-08-10,PayPal,595
596,484.59,2021-02-18,Credit Card,596
597,2159.04,2022-07-04,Cash,597
598,1103.11,2021-02-15,PayPal,598
599,239.37,2020-08-01,Credit Card,599
600,1635.74,2023-10-12,Credit Card,600
601,2518.6,2022-08-18,PayPal,601
602,2364.14,2020-04-26,Bank Transfer,602
603,1265.73,2022-11-17,Cash,603
604,1392.54,2022-11-04,Bank Transfer,604
605,2930.54,2022-02-27,Bank Transfer,605
606,169.6,2022-11-15,PayPal,606
607,1999.0,2022-03-09,Cash,607
608,607.49,2022-11-07,Bank Transfer,608
609,776.01,2020-05-06,Cash,609
610,1286.27,2021-05-28,Credit Card,610
611,2194.19,2022-12-26,Credit Card,611
612,1428.66,2023-03-19,PayPal,612
613,2580.46,2020-12-27,PayPal,613
614,101.24,2021-10-23,Bank Transfer,614
615,102.34,2022-08-26,PayPal,615
616,1382.42,2021-05-19,Credit Card,616
617,812.29,2020-10-30,PayPal,617
618,1149.87,2021-07-01,Cash,618
619,1975.66,2021-02-20,PayPal,619
620,1587.51,2020-08-24,PayPal,620
621,1208.68,2023-09-19,Bank Transfer,621
622,2727.58,2021-08-20,PayPal,622
623,1970.18,2022-01-31,PayPal,623
624,1552.09,2023-03-04,Cash,624
625,2523.76,2020-09-27,PayPal,625
626,2211.0,2021-06-08,PayPal,626
627,2174.09,2020-10-10,PayPal,627
628,2402.65,2021-05-19,PayPal,628
629,1350.27,2020-03-27,PayPal,629
630,2715.44,2022-01-17,Cash,630
631,675.82,2022-11-08,PayPal,631
632,1015.99,2021-12-19,PayPal,632
633,1670.6,2021-01-25,Credit Card,633
634,1201.34,2020-07-24,Cash,634
635,2030.86,2022-10-03,PayPal,635
636,2831.4,2022-09-12,Bank Transfer,636
637,908.22,2020-10-29,PayPal,637
638,1186.55,2020-05-11,PayPal,638
639,675.79,2021-01-18,Bank Transfer,639
640,2361.63,2023-10-02,Bank Transfer,640
641,2456.23,2023-12-09,Cash,641
642,2819.49,2022-06-06,Bank Transfer,642
643,2906.31,2022-01-21,Credit Card,643
644,1174.65,2020-07-17,Credit Card,644
645,2410.77,2023-09-29,PayPal,645
646,2789.65,2021-02-22,Bank Transfer,646
647,2649.18,2021-06-26,PayPal,647
648,2918.31,2023-09-18,Credit Card,648
649,1205.93,2020-05-27,Cash,649
650,187.24,2021-11-24,Bank Transfer,650
