contract_number,purchase_date,expiration_date,total_cost,customer_id
120,2020-09-23,2020-12-22,473.46,361
121,2023-12-20,2024-12-19,1011.16,400
122,2022-04-03,2022-05-03,1275.85,299
123,2022-02-13,2022-03-15,1263.18,34
124,2023-03-22,2024-03-21,178.91,274
125,2023-11-07,2023-12-07,1931.16,371
126,2023-10-09,2023-11-08,1397.97,469
127,2021-09-16,2021-12-15,1731.15,126
128,2020-02-26,2020-05-26,1119.78,33
129,2021-03-30,2021-06-28,1650.85,352
130,2022-11-20,2023-02-18,1908.82,188
131,2023-11-10,2024-11-09,572.82,368
132,2020-05-15,2020-06-14,2780.31,103
133,2022-11-06,2022-12-06,2303.41,400
134,2020-11-25,2021-11-25,2926.49,87
135,2021-10-09,2021-11-08,2932.87,216
136,2022-05-30,2022-06-29,564.99,506
137,2022-01-06,2022-04-06,2950.44,240
138,2020-12-07,2021-03-07,2641.32,242
139,2020-11-06,2020-12-06,1898.77,89
140,2023-04-06,2023-07-05,2577.41,382
141,2023-10-08,2023-11-07,1480.47,454
142,2023-07-12,2023-10-10,180.27,454
143,2023-12-14,2024-03-13,2211.42,18
144,2023-08-15,2023-11-13,2574.9,454
145,2020-05-19,2021-05-19,863.52,271
146,2023-07-27,2024-07-26,2473.3,501
147,2022-05-30,2022-06-29,800.21,168
148,2020-02-08,2020-03-09,1902.3,74
149,2020-08-26,2020-09-25,2253.44,372
150,2021-05-29,2022-05-29,1580.2,161
151,2021-06-27,2022-06-27,2543.85,354
152,2020-07-20,2020-08-19,711.28,322
153,2023-10-15,2024-01-13,1173.59,79
154,2021-11-30,2021-12-30,1222.41,18
155,2021-07-24,2022-07-24,2553.4,323
156,2020-09-11,2020-10-11,2144.7,162
157,2022-03-09,2022-06-07,196.21,412
158,2023-07-23,2024-07-22,2566.23,470
159,2023-11-02,2024-01-31,2656.26,417
160,2022-07-13,2022-08-12,1147.81,198
161,2020-02-09,2020-05-09,2535.3,261
162,2021-02-28,2022-02-28,2898.86,215
163,2020-10-30,2020-11-29,1270.09,206
164,2022-11-26,2023-02-24,743.36,469
165,2023-05-03,2024-05-02,1348.48,125
166,2021-04-18,2021-05-18,347.18,431
167,2020-11-03,2020-12-03,574.96,229
168,2023-12-16,2024-03-15,1167.78,196
169,2023-04-22,2023-05-22,1033.4,355
170,2021-07-08,2022-07-08,2927.76,242
171,2020-04-26,2020-05-26,2001.56,126
172,2021-03-27,2021-06-25,1495.48,351
173,2020-07-04,2020-10-02,395.19,55
174,2021-12-30,2022-01-29,1156.71,2
175,2020-01-10,2021-01-09,2381.83,358
176,2020-11-07,2021-11-07,150.66,117
177,2022-08-01,2022-10-30,2692.34,59
178,2023-03-03,2023-06-01,202.33,72
179,2020-05-21,2020-08-19,2991.99,45
180,2020-06-17,2020-09-15,2329.16,278
181,2021-10-09,2021-11-08,427.95,414
182,2023-01-03,2024-01-03,2604.48,364
183,2022-02-21,2022-05-22,446.69,414
184,2023-12-13,2024-12-12,658.68,217
185,2023-04-27,2023-05-27,1292.97,68
186,2021-02-03,2021-05-04,1925.69,276
187,2020-10-09,2021-10-09,183.38,407
188,2021-01-24,2021-02-23,490.29,198
189,2020-03-04,2021-03-04,475.92,238
190,2022-02-28,2022-05-29,346.13,498
191,2022-02-06,2022-05-07,134.85,166
192,2022-11-07,2022-12-07,1512.41,376
193,2021-04-02,2021-05-02,138.83,59
194,2021-04-14,2021-07-13,397.43,449
195,2022-03-31,2022-04-30,738.47,154
196,2023-07-29,2023-10-27,611.67,476
197,2022-07-09,2022-10-07,1764.15,226
198,2023-04-04,2023-07-03,125.81,72
199,2021-03-12,2021-06-10,1063.6,106
200,2023-07-06,2023-08-05,415.86,266
201,2022-03-19,2022-04-18,2658.46,476
202,2023-02-02,2023-05-03,1611.95,39
203,2023-07-07,2023-08-06,1038.96,64
204,2020-06-27,2020-09-25,2882.43,126
205,2023-07-02,2024-07-01,2771.39,483
206,2022-12-05,2023-12-05,2389.6,255
207,2022-02-11,2023-02-11,246.92,229
208,2021-10-05,2022-10-05,2887.6,459
209,2022-03-19,2023-03-19,179.95,247
210,2023-11-19,2024-02-17,581.06,44
211,2020-04-07,2020-07-06,1678.51,206
212,2023-05-07,2024-05-06,1149.31,302
213,2020-02-02,2020-05-02,1637.8,471
214,2023-02-13,2024-02-13,519.21,236
215,2020-01-12,2020-04-11,320.69,463
216,2021-01-30,2021-04-30,1924.53,418
217,2022-05-07,2022-08-05,2799.54,301
218,2022-11-25,2022-12-25,359.96,189
219,2020-04-18,2020-05-18,1638.94,186
220,2021-03-30,2021-04-29,1992.62,94
221,2022-01-25,2022-02-24,2702.4,145
222,2021-01-08,2021-04-08,1437.4,443
223,2023-03-19,2023-06-17,282.87,368
224,2021-01-13,2021-02-12,2939.55,240
225,2022-11-05,2023-11-05,2285.35,412
226,2023-09-18,2023-10-18,1082.31,2
227,2020-02-01,2020-03-02,2246.92,417
228,2020-08-14,2021-08-14,2940.84,117
229,2023-09-19,2023-10-19,2230.53,140
230,2023-08-21,2024-08-20,715.34,488
231,2020-05-11,2020-08-09,2227.08,398
232,2023-03-02,2024-03-01,370.78,343
233,2023-05-27,2024-05-26,304.46,114
234,2021-03-28,2022-03-28,291.81,403
235,2020-07-19,2021-07-19,408.49,79
236,2020-02-15,2020-05-15,446.17,508
237,2020-08-09,2020-11-07,768.86,250
238,2022-06-04,2022-09-02,1529.26,288
239,2022-05-05,2022-08-03,1679.98,408
240,2023-09-06,2024-09-05,1924.96,385
241,2021-01-14,2022-01-14,888.08,129
242,2021-06-16,2021-07-16,1466.87,51
243,2023-11-10,2023-12-10,1425.38,35
244,2023-09-07,2024-09-06,1642.64,306
245,2023-08-12,2023-09-11,655.06,36
246,2021-09-19,2022-09-19,1670.92,223
247,2021-08-28,2021-09-27,997.46,19
248,2022-05-11,2022-06-10,2832.22,156
249,2021-03-05,2021-06-03,1565.92,233
250,2023-05-10,2024-05-09,883.05,505
251,2023-09-21,2023-12-20,1499.84,491
252,2021-05-15,2021-08-13,1106.3,19
253,2022-09-16,2022-12-15,2589.36,425
254,2023-02-17,2023-05-18,2436.56,248
255,2020-04-16,2021-04-16,2339.0,333
256,2023-09-23,2023-12-22,2768.76,355
257,2023-07-26,2023-08-25,2974.74,500
258,2022-09-24,2022-12-23,875.85,347
259,2021-03-05,2021-06-03,2919.24,473
260,2021-10-13,2021-11-12,1144.48,304
261,2022-07-15,2022-08-14,2926.61,453
262,2022-11-05,2023-11-05,2943.02,1
263,2022-10-12,2023-01-10,1715.84,102
264,2022-11-29,2023-02-27,2018.22,88
265,2021-01-07,2021-02-06,2604.02,461
266,2020-10-06,2020-11-05,2715.08,356
267,2020-07-03,2021-07-03,948.47,429
268,2023-11-10,2024-02-08,416.11,489
269,2022-10-14,2023-10-14,2837.28,130
270,2023-10-28,2024-01-26,2146.88,100
271,2020-12-03,2021-12-03,736.08,128
272,2020-03-21,2021-03-21,2073.99,216
273,2023-04-11,2024-04-10,1764.97,463
274,2023-02-18,2024-02-18,2329.54,68
275,2020-11-06,2020-12-06,947.79,382
276,2020-03-29,2021-03-29,1785.63,323
277,2020-05-13,2021-05-13,642.61,454
278,2023-07-24,2024-07-23,925.39,127
279,2020-07-06,2020-10-04,2986.22,441
280,2021-12-13,2022-03-13,520.67,432
281,2021-09-25,2022-09-25,1168.44,447
282,2021-12-06,2022-12-06,613.82,232
283,2020-07-01,2020-09-29,1158.07,344
284,2020-11-18,2020-12-18,1502.54,390
285,2023-11-16,2024-11-15,1170.81,208
286,2021-04-13,2022-04-13,2120.67,471
287,2022-10-27,2023-10-27,679.19,226
288,2021-06-30,2021-09-28,1713.03,390
289,2020-01-18,2020-04-17,1060.18,386
290,2023-09-08,2023-10-08,1990.16,304
291,2020-06-11,2021-06-11,861.08,424
292,2023-06-05,2024-06-04,1523.74,429
293,2021-05-15,2022-05-15,811.81,424
294,2020-10-01,2020-10-31,2845.69,77
295,2022-11-25,2023-02-23,1236.25,497
296,2022-11-11,2023-02-09,1207.77,450
297,2021-07-10,2021-10-08,301.0,245
298,2023-04-08,2023-07-07,2340.97,478
299,2021-07-15,2021-10-13,1461.23,14
300,2023-03-03,2023-04-02,1235.88,252
301,2022-04-23,2023-04-23,1760.02,502
302,2023-04-25,2023-05-25,1732.07,162
303,2020-10-02,2021-10-02,2760.38,145
304,2023-01-13,2024-01-13,1195.11,274
305,2022-03-06,2022-06-04,636.0,262
306,2023-04-10,2023-07-09,643.02,360
307,2021-11-29,2021-12-29,2728.61,8
308,2022-09-06,2022-12-05,2186.3,500
309,2022-05-02,2022-06-01,583.71,19
310,2023-01-03,2023-04-03,1957.61,107
311,2023-05-03,2023-08-01,1859.03,245
312,2022-12-01,2023-12-01,1819.3,462
313,2023-09-05,2024-09-04,1355.75,413
314,2020-07-03,2021-07-03,678.05,110
315,2021-11-17,2021-12-17,543.35,254
316,2020-06-26,2020-09-24,1572.87,249
317,2023-07-11,2024-07-10,2503.64,325
318,2021-01-10,2021-02-09,1982.01,50
319,2023-05-27,2023-06-26,1716.08,82
320,2022-10-27,2023-01-25,1595.24,28
321,2022-08-12,2022-09-11,449.17,358
322,2022-10-09,2022-11-08,2724.18,230
323,2021-04-04,2021-07-03,707.77,400
324,2022-01-04,2022-02-03,281.99,274
325,2023-11-05,2023-12-05,1982.58,470
326,2020-07-20,2020-10-18,1427.65,242
327,2020-05-25,2021-05-25,1102.84,235
328,2023-12-24,2024-03-23,1092.85,64
329,2022-10-16,2023-01-14,2815.19,318
330,2023-02-11,2024-02-11,1432.12,71
331,2020-03-25,2020-06-23,948.43,191
332,2022-12-06,2023-12-06,1919.1,306
333,2020-01-31,2020-04-30,1591.89,491
334,2022-11-03,2023-02-01,151.04,115
335,2023-05-14,2023-06-13,111.0,255
336,2023-10-22,2023-11-21,2641.44,331
337,2023-02-22,2023-03-24,1379.94,145
338,2022-07-02,2022-08-01,2921.92,491
339,2023-03-20,2024-03-19,2617.64,45
340,2020-06-19,2021-06-19,1022.78,8
341,2023-01-06,2024-01-06,415.63,359
342,2023-03-18,2024-03-17,785.49,241
343,2022-06-29,2022-07-29,1702.71,206
344,2020-12-31,2021-01-30,1541.12,306
345,2022-03-25,2022-06-23,1860.81,353
346,2022-12-07,2023-01-06,1901.62,407
347,2022-10-26,2023-01-24,1785.44,38
348,2021-07-19,2021-08-18,2937.29,339
349,2020-08-15,2020-09-14,1283.4,181
350,2021-02-23,2021-05-24,718.34,239
351,2020-03-05,2020-04-04,2259.11,242
352,2020-01-26,2020-04-25,954.91,309
353,2020-03-16,2020-04-15,2014.85,268
354,2020-04-20,2021-04-20,1033.55,305
355,2020-05-19,2020-06-18,2470.67,231
356,2023-10-25,2024-10-24,506.66,234
357,2020-02-25,2021-02-24,2693.42,218
358,2023-12-16,2024-01-15,1730.3,388
359,2021-02-15,2021-05-16,2119.31,388
360,2022-12-12,2023-12-12,1311.48,183
361,2023-10-15,2023-11-14,1125.87,146
362,2022-02-14,2023-02-14,1905.33,291
363,2020-07-10,2021-07-10,2058.02,114
364,2022-01-18,2022-02-17,389.58,14
365,2023-07-13,2024-07-12,1774.57,20
366,2023-03-16,2024-03-15,1151.18,338
367,2020-07-13,2021-07-13,2177.37,186
368,2022-05-12,2022-08-10,1349.43,411
369,2020-08-05,2021-08-05,702.98,161
370,2023-10-29,2023-11-28,1559.14,290
371,2023-07-22,2023-08-21,662.97,337
372,2021-11-11,2022-11-11,2236.33,192
373,2021-04-20,2021-07-19,1166.65,99
374,2021-06-20,2021-09-18,372.5,301
375,2022-06-09,2023-06-09,1565.21,195
376,2020-02-15,2021-02-14,2993.01,29
377,2021-04-21,2021-07-20,1779.04,405
378,2023-08-27,2024-08-26,604.44,2
379,2020-07-04,2021-07-04,1732.73,183
380,2020-06-01,2020-07-01,1698.87,128
381,2022-10-08,2023-01-06,2341.7,292
382,2020-11-05,2020-12-05,914.76,386
383,2021-08-17,2022-08-17,1859.9,370
384,2022-11-26,2023-02-24,2908.82,492
385,2021-11-10,2022-11-10,937.47,359
386,2022-11-03,2023-11-03,2346.27,140
387,2023-02-19,2024-02-19,2160.03,123
388,2021-05-22,2022-05-22,861.59,363
389,2021-05-02,2021-07-31,2696.42,227
390,2021-09-03,2021-12-02,815.92,375
391,2020-02-28,2020-05-28,2492.66,328
392,2020-03-17,2020-04-16,2070.56,368
393,2020-08-25,2020-09-24,2436.62,120
394,2021-07-27,2022-07-27,1804.28,403
395,2023-07-17,2023-08-16,1995.88,422
396,2020-12-24,2021-03-24,2632.54,453
397,2021-05-10,2022-05-10,594.13,431
398,2020-12-14,2021-12-14,763.68,15
399,2021-12-07,2022-12-07,1597.48,363
400,2020-10-01,2020-12-30,604.71,243
401,2021-02-13,2022-02-13,216.45,256
402,2023-11-04,2023-12-04,1225.39,168
403,2022-05-24,2022-06-23,2228.92,63
404,2020-09-21,2021-09-21,259.41,2
405,2022-01-15,2023-01-15,2586.95,155
406,2023-04-06,2024-04-05,1887.28,168
407,2021-11-04,2021-12-04,997.6,172
408,2020-06-17,2020-09-15,110.42,459
409,2022-08-10,2022-11-08,2421.83,489
410,2023-09-23,2023-10-23,1412.5,341
411,2023-01-30,2024-01-30,1707.69,216
412,2023-01-06,2024-01-06,2161.42,490
413,2022-01-17,2022-04-17,2342.19,208
414,2020-10-12,2020-11-11,905.02,485
415,2022-04-19,2022-05-19,1089.71,419
416,2020-04-03,2021-04-03,2105.21,334
417,2021-06-18,2021-07-18,1320.05,186
418,2023-01-01,2023-01-31,1298.63,90
419,2023-08-01,2024-07-31,1319.75,239
420,2022-01-06,2022-02-05,1594.74,286
421,2022-02-02,2022-03-04,208.02,103
422,2023-04-03,2024-04-02,1327.93,234
423,2023-05-20,2023-06-19,263.23,86
424,2022-11-21,2023-11-21,772.26,412
425,2021-03-17,2021-04-16,2605.56,110
426,2023-03-04,2024-03-03,120.63,366
427,2022-02-14,2022-05-15,1934.19,110
428,2021-05-30,2021-06-29,2789.5,418
429,2023-03-22,2023-06-20,588.88,7
430,2021-05-29,2021-06-28,104.51,341
431,2023-06-13,2023-07-13,145.63,50
432,2023-10-03,2023-11-02,2925.2,169
433,2021-09-29,2021-12-28,1668.77,180
434,2022-07-02,2022-08-01,1110.33,83
435,2022-05-25,2022-06-24,2730.35,282
436,2020-12-24,2021-03-24,2617.63,37
437,2020-12-09,2021-01-08,2861.91,268
438,2020-03-24,2020-06-22,423.17,498
439,2020-05-17,2020-06-16,1623.48,500
440,2022-07-17,2022-08-16,1080.61,410
441,2022-02-09,2022-03-11,2826.29,171
442,2023-11-26,2024-02-24,1038.35,213
443,2023-07-21,2023-08-20,603.84,277
444,2020-11-19,2021-02-17,2646.57,400
445,2023-09-19,2023-12-18,2075.29,351
446,2022-04-22,2022-07-21,1313.36,133
447,2023-05-24,2023-08-22,2915.03,40
448,2023-01-11,2023-04-11,710.46,205
449,2022-01-26,2022-04-26,1364.75,359
450,2022-04-18,2022-05-18,1384.25,476
451,2021-05-24,2021-08-22,2349.28,37
452,2020-01-27,2021-01-26,1989.1,463
453,2021-12-10,2022-12-10,318.05,499
454,2020-08-29,2021-08-29,1495.31,223
455,2023-10-05,2023-11-04,121.11,12
456,2023-02-12,2024-02-12,591.55,82
457,2020-03-15,2020-04-14,916.89,103
458,2021-11-13,2022-11-13,133.41,316
459,2022-06-20,2023-06-20,213.93,505
460,2021-08-23,2021-11-21,1690.43,389
461,2023-05-21,2023-08-19,2519.79,359
462,2022-12-06,2023-12-06,157.2,242
463,2020-10-08,2020-11-07,1714.71,358
464,2020-01-12,2021-01-11,1680.19,101
465,2023-11-06,2024-11-05,2290.93,435
466,2020-12-11,2021-12-11,244.57,154
467,2020-05-24,2020-06-23,843.77,78
468,2021-05-16,2021-08-14,1700.48,207
469,2022-12-02,2023-01-01,533.75,335
470,2021-07-20,2021-08-19,1312.75,96
471,2020-07-25,2020-10-23,1236.49,54
472,2023-07-16,2024-07-15,2497.84,321
473,2021-07-03,2022-07-03,1061.96,328
474,2022-11-28,2022-12-28,2021.33,222
475,2020-01-04,2020-02-03,480.08,153
476,2022-05-26,2022-08-24,1713.69,1
477,2023-08-05,2023-11-03,2282.84,138
478,2023-02-21,2023-03-23,117.88,240
479,2021-01-13,2022-01-13,2486.53,448
480,2021-05-27,2021-08-25,557.0,507
481,2021-07-03,2021-10-01,2086.11,97
482,2021-04-08,2021-07-07,2150.78,70
483,2022-07-28,2022-10-26,1639.51,368
484,2021-03-04,2021-04-03,912.06,234
485,2020-09-03,2021-09-03,2031.31,176
486,2022-07-13,2022-10-11,2469.4,339
487,2021-02-10,2021-05-11,732.93,507
488,2022-12-01,2023-12-01,848.71,491
489,2020-01-28,2021-01-27,2269.09,311
490,2021-03-04,2021-04-03,2691.31,282
491,2022-07-21,2022-08-20,1206.53,226
492,2020-02-10,2021-02-09,753.56,427
493,2023-02-12,2023-05-13,2609.72,282
494,2021-11-28,2022-11-28,1613.21,89
495,2023-12-19,2024-01-18,2416.56,254
496,2023-02-02,2024-02-02,2962.65,218
497,2023-03-02,2024-03-01,889.14,415
498,2023-04-30,2023-05-30,2749.52,160
499,2021-04-27,2022-04-27,2628.62,282
500,2023-06-11,2023-07-11,374.95,420
501,2021-08-16,2021-09-15,822.05,244
502,2023-04-21,2023-05-21,267.72,172
503,2022-10-24,2022-11-23,145.21,182
504,2020-10-12,2021-10-12,1110.72,338
505,2023-02-12,2023-05-13,839.08,368
506,2023-04-21,2023-07-20,123.68,469
507,2022-02-04,2022-03-06,2474.76,228
508,2021-01-22,2021-04-22,2035.5,461
509,2021-01-17,2022-01-17,2105.4,18
510,2023-06-24,2024-06-23,608.29,9
511,2021-12-05,2022-01-04,289.2,225
512,2022-08-21,2022-11-19,250.61,127
513,2022-12-09,2023-12-09,1886.87,466
514,2023-02-18,2023-03-20,931.71,18
515,2022-09-09,2022-10-09,2346.84,63
516,2021-02-21,2021-05-22,1380.33,48
517,2022-10-24,2023-01-22,150.84,87
518,2021-07-11,2021-10-09,2891.19,319
519,2021-12-02,2022-01-01,1521.85,351
520,2020-01-04,2020-02-03,1559.78,17
521,2022-04-19,2022-07-18,1023.55,31
522,2021-03-11,2021-06-09,1674.89,56
523,2023-06-04,2023-07-04,2366.37,245
524,2021-02-03,2021-03-05,1217.16,13
525,2023-07-04,2023-08-03,2002.11,334
526,2022-06-19,2022-07-19,395.59,121
527,2020-12-07,2021-03-07,1210.36,196
528,2023-07-08,2023-08-07,2452.26,10
529,2023-01-27,2024-01-27,2777.82,131
530,2021-12-13,2022-01-12,2333.86,259
531,2021-02-10,2021-05-11,2897.67,126
532,2020-03-12,2020-04-11,2079.37,326
533,2020-11-11,2021-02-09,2347.26,79
534,2022-01-01,2022-01-31,718.77,293
535,2023-06-21,2023-09-19,1620.55,442
536,2022-06-16,2022-09-14,2193.35,359
537,2020-02-12,2020-05-12,972.65,108
538,2023-12-18,2024-12-17,569.13,269
539,2022-09-18,2022-10-18,1016.77,147
540,2020-04-19,2021-04-19,2722.14,65
541,2023-03-17,2023-04-16,2301.65,141
542,2022-09-24,2023-09-24,1869.61,54
543,2023-05-25,2023-06-24,1764.24,40
544,2023-12-26,2024-12-25,1639.96,139
545,2020-12-17,2021-12-17,1809.94,471
546,2021-09-13,2021-10-13,563.15,196
547,2022-02-27,2023-02-27,1784.98,268
548,2020-06-13,2021-06-13,1782.43,89
549,2022-11-23,2022-12-23,1594.89,123
550,2021-02-27,2021-03-29,2704.98,127
551,2020-01-20,2020-04-19,2498.68,212
552,2021-07-19,2021-10-17,877.66,202
553,2020-10-30,2021-10-30,401.68,295
554,2022-12-20,2023-12-20,870.93,345
555,2020-03-18,2020-04-17,1374.34,276
556,2022-11-08,2023-02-06,2970.08,477
557,2020-06-19,2020-09-17,780.93,78
558,2023-11-13,2024-11-12,2794.79,356
559,2023-12-08,2024-03-07,2237.25,170
560,2022-06-07,2023-06-07,1033.11,15
561,2023-12-09,2024-12-08,2736.94,205
562,2023-07-05,2024-07-04,2461.25,38
563,2023-11-20,2024-11-19,2772.93,397
564,2022-06-27,2022-07-27,286.3,12
565,2020-07-08,2020-08-07,671.88,358
566,2020-10-25,2021-01-23,1153.16,503
567,2020-05-27,2020-08-25,101.19,412
568,2021-10-26,2021-11-25,2353.7,147
569,2021-10-19,2022-10-19,227.83,98
570,2022-01-25,2023-01-25,381.85,371
571,2023-09-06,2024-09-05,598.9,341
572,2022-06-23,2022-07-23,1917.14,213
573,2022-06-16,2023-06-16,2436.09,167
574,2023-07-09,2023-10-07,2750.55,477
575,2023-05-21,2024-05-20,1274.12,55
576,2021-07-09,2021-10-07,1949.53,63
577,2020-11-17,2021-02-15,1177.66,48
578,2021-11-05,2022-02-03,372.57,495
579,2020-10-14,2020-11-13,2623.14,60
580,2023-07-06,2023-10-04,1926.84,492
581,2020-02-10,2020-03-11,1817.01,199
582,2020-02-24,2021-02-23,2291.97,276
583,2023-05-27,2023-06-26,2270.57,467
584,2023-11-08,2024-02-06,171.18,166
585,2022-06-18,2023-06-18,449.7,313
586,2022-06-18,2022-07-18,2461.75,144
587,2023-03-27,2024-03-26,704.34,188
588,2021-09-01,2021-11-30,1877.97,103
589,2021-11-18,2021-12-18,1068.46,160
590,2021-08-16,2021-09-15,1184.45,12
591,2020-03-23,2020-06-21,2192.71,324
592,2021-04-16,2021-07-15,2269.57,136
593,2020-04-15,2020-07-14,1402.77,77
594,2022-01-05,2022-02-04,773.84,155
595,2022-08-06,2022-11-04,1089.38,441
596,2021-02-14,2021-05-15,484.59,329
597,2022-07-02,2022-08-01,2159.04,79
598,2021-02-11,2021-05-12,1103.11,386
599,2020-07-29,2020-08-28,239.37,316
600,2023-10-08,2023-11-07,1635.74,14
601,2022-08-18,2023-08-18,2518.6,355
602,2020-04-24,2020-07-23,2364.14,375
603,2022-11-15,2023-11-15,1265.73,55
604,2022-11-04,2022-12-04,1392.54,192
605,2022-02-22,2022-03-24,2930.54,412
606,2022-11-11,2022-12-11,169.6,491
607,2022-03-04,2023-03-04,1999.0,483
608,2022-11-04,2023-02-02,607.49,251
609,2020-05-06,2020-06-05,776.01,267
610,2021-05-26,2022-05-26,1286.27,159
611,2022-12-22,2023-12-22,2194.19,372
612,2023-03-18,2023-06-16,1428.66,93
613,2020-12-23,2021-12-23,2580.46,12
614,2021-10-21,2022-10-21,101.24,311
